,Unnamed: 0,Given category,Given sub_category,Category,Sub_Category,brand,type
2148,21065,Beauty & Hygiene,Skin Care,,,Nicka K,Lip Care
2150,21095,Beauty & Hygiene,Bath & Hand Wash,,,Khadi Essentials,Hand Wash & Sanitizers
2151,21221,Beverages,"Health Drink, Supplement",,,Ammae,Men & Women
2154,21334,Beauty & Hygiene,Men's Grooming,,,Laser,Shaving Care
2162,21617,Beauty & Hygiene,Health & Medicine,,,Karkhana,Face Masks & Safety Gears
2164,21744,Snacks & Branded Foods,Indian Mithai,,,MISHT,Fresh Sweets
2165,21751,"Kitchen, Garden & Pets",Storage & Accessories,,,Nilkamal,Cloth Dryer & Iron Table
2168,21800,Beauty & Hygiene,Hair Care,,,Nisargalaya,Hair Oil & Serum
2170,21878,Cleaning & Household,Party & Festive Needs,,,Re,Disposable Cups & Plates
2171,21890,Cleaning & Household,Stationery,,,Oasis,"Notebooks, Files, Folders"
2172,21900,Cleaning & Household,Stationery,,,Darshi,Exam Pads & Pencil Box
2173,21993,Beauty & Hygiene,Health & Medicine,,,Honeywell,Face Masks & Safety Gears
2174,21995,Beauty & Hygiene,Health & Medicine,,,SAFE-KI,Face Masks & Safety Gears
2179,22140,Beauty & Hygiene,Feminine Hygiene,,,Comfy Snug Fit,Sanitary Napkins
2180,22192,Beauty & Hygiene,Bath & Hand Wash,,,Godrej Aer,Hand Wash & Sanitizers
2181,22204,"Kitchen, Garden & Pets",Storage & Accessories,,,Savera,Cloth Dryer & Iron Table
2182,22228,"Foodgrains, Oil & Masala",Dals & Pulses,,,Satyendra,Cereals & Millets
2185,22329,Beauty & Hygiene,Fragrances & Deos,,,Ferrari ,Eau De Toilette
2186,22366,Beauty & Hygiene,Skin Care,,,Bioderma,Face Care
2189,22445,Beauty & Hygiene,Health & Medicine,,,Bodygard,Everyday Medicine
2190,22446,Beauty & Hygiene,Hair Care,,,Basicare,Tools & Accessories
2191,22448,Cleaning & Household,Stationery,,,Post-It,Books & Magazines
2192,22451,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",,,Savorit,Vermicelli
2193,22496,Cleaning & Household,Stationery,,,Solo,Books & Magazines
2194,22506,Beauty & Hygiene,Hair Care,,,Livon,Hair Oil & Serum
2195,22508,Beauty & Hygiene,Skin Care,,,EVVER,Face Care
2199,22706,Beauty & Hygiene,Fragrances & Deos,,,Layerr,Women's Deodorants
2209,23047,Beauty & Hygiene,Skin Care,,,Fruit Of The Earth,Body Care
2213,23393,Beauty & Hygiene,Skin Care,,,D'Acne,Face Care
2215,23420,Cleaning & Household,Stationery,,,Maped ,Games & Calculators
2217,23523,"Foodgrains, Oil & Masala",Dals & Pulses,,,Nutrela,Cereals & Millets
2219,23586,"Kitchen, Garden & Pets",Storage & Accessories,,,Mahaware,Containers Sets
2222,23614,Beauty & Hygiene,Bath & Hand Wash,,,Opex,Bathing Accessories
2227,23725,Cleaning & Household,Pooja Needs,,,Unique Arts & Interiors,Candles & Match Box
2230,23800,Beauty & Hygiene,Bath & Hand Wash,,,Aeres,Hand Wash & Sanitizers
2231,23836,"Kitchen, Garden & Pets",Steel Utensils,,,Steel Lock,Steel Storage Containers
2233,23942,"Kitchen, Garden & Pets",Kitchen Accessories,,,Swastik Steel,Kitchen Tools & Other Accessories
2234,24042,"Kitchen, Garden & Pets",Steel Utensils,,,Ramson,Bowls & Vessels
2237,24321,Cleaning & Household,Stationery,,,Brother,"Scissor, Glue & Tape"
2238,24369,"Kitchen, Garden & Pets",Steel Utensils,,,Jensons,Steel Storage Containers
2241,24530,"Kitchen, Garden & Pets",Steel Utensils,,,Magnus,Steel Lunch Boxes
2247,24836,"Kitchen, Garden & Pets",Storage & Accessories,,,Big Plastic,Containers Sets
2248,24889,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",,,A&M,Instant Noodles
2250,25035,Beauty & Hygiene,Skin Care,,,Nuface Ultra,Face Care
2251,25089,Cleaning & Household,Stationery,,,Evo bond,"Scissor, Glue & Tape"
2252,25095,Beauty & Hygiene,Health & Medicine,,,PediaCare,Supplements & Proteins
2254,25199,Snacks & Branded Foods,Indian Mithai,,,Bikalananda Kars,"Tinned, Packed Sweets"
2257,25504,Cleaning & Household,Pooja Needs,,,Diyaz,Candles & Match Box
2258,25511,Beauty & Hygiene,Skin Care,,,Malu Wilz,Face Care
2259,25536,Beauty & Hygiene,Bath & Hand Wash,,,O,Hand Wash & Sanitizers
2261,25563,"Kitchen, Garden & Pets",Storage & Accessories,,,Parachase,Umbrella
2271,25953,Cleaning & Household,Stationery,,,Royal Touch,"Notebooks, Files, Folders"
2272,25954,Cleaning & Household,Stationery,,,Trident Spectra,"Notebooks, Files, Folders"
2273,25962,Beauty & Hygiene,Health & Medicine,,,1mg,Supplements & Proteins
2274,25994,Beauty & Hygiene,Skin Care,,,Paese Cosmetics,Face Care
2275,25997,"Kitchen, Garden & Pets",Storage & Accessories,,,Bento,Lunch Boxes
2279,26183,Beauty & Hygiene,Feminine Hygiene,,,EverEve,Sanitary Napkins
2280,26185,"Kitchen, Garden & Pets",Appliances & Electricals,,,Duracell,Battery & Electrical
2282,26360,"Kitchen, Garden & Pets",Appliances & Electricals,,,Spartan,Battery & Electrical
2284,26428,Beauty & Hygiene,Fragrances & Deos,,,Versace V19.69,Perfume
2285,26429,Cleaning & Household,Fresheners & Repellents,,,Khushbu,Air Freshener
2286,26431,"Kitchen, Garden & Pets",Appliances & Electricals,,,Mansaa,CFL & Led Bulbs
2287,26444,"Kitchen, Garden & Pets",Storage & Accessories,,,Cerbiatto,Racks & Holders
2289,26466,Beauty & Hygiene,Feminine Hygiene,,,Everteen,Intimate Wash & Care
2290,26479,Beauty & Hygiene,Fragrances & Deos,,,AmitabhB,Men's Deodorants
2292,26489,Beauty & Hygiene,Fragrances & Deos,,,Open,Body Sprays & Mists
2293,26503,Beauty & Hygiene,Fragrances & Deos,,,One man show,Body Sprays & Mists
2299,26971,Cleaning & Household,Pooja Needs,,,Bittoo Tealight,Candles & Match Box
2300,27005,Beauty & Hygiene,Fragrances & Deos,,,CHENNAI SUPER KINGS,Men's Deodorants
2303,27064,Beverages,"Health Drink, Supplement",,,Amul Pro,Kids (5+Yrs)
2304,27076,Beauty & Hygiene,Health & Medicine,,,FITWHEY,Supplements & Proteins
2305,27079,Beauty & Hygiene,Fragrances & Deos,,,Evaflor,Eau De Toilette
2307,27186,Beauty & Hygiene,Skin Care,,,The Body Shop,Body Care
2313,27518,Cleaning & Household,Stationery,,,Zebronics,Electronic Accessories
